8  3.19404	2.607870e-01	-2.322062e-02	2.190975e-02	7.149604e-01	
2  2.31556	2.569821e-01	1.855804e-02	2.217078e-02	6.764222e-01	
1  2.60625	2.518044e-01	5.364736e-03	2.236005e-02	6.943839e-01	
1  2.2389	2.606053e-01	1.568029e-02	2.214876e-02	6.757244e-01	
2  2.34513	2.665220e-01	4.116318e-03	2.193102e-02	6.818425e-01	
5  4.23959	2.528273e-01	-4.355445e-02	2.212862e-02	7.427807e-01	
1  3.5795	2.793851e-01	-1.201499e-02	2.212778e-02	6.846852e-01	
2  2.86868	3.103951e-01	3.508699e-02	2.176062e-02	6.073673e-01	
2  2.64552	2.913649e-01	1.197218e-02	2.178443e-02	6.494608e-01	
1  3.46753	2.536562e-01	-3.173498e-02	2.186370e-02	7.307053e-01	
11  1.96246	2.724099e-01	2.120873e-02	2.180365e-02	6.591376e-01	
1  1.70937	2.982590e-01	9.926067e-02	2.195452e-02	5.549103e-01	
1  2.1002	3.207341e-01	1.314136e-01	2.178873e-02	5.006408e-01	
3  2.46001	3.254375e-01	1.549951e-01	2.209653e-02	4.716904e-01	
1  2.54248	3.178256e-01	1.620435e-01	2.238886e-02	4.716216e-01	
2  2.15604	3.264978e-01	1.311223e-01	2.178560e-02	4.951751e-01	
2  2.67235	3.413181e-01	1.376899e-01	2.181640e-02	4.737208e-01	
1  4.07188	3.556545e-01	1.369289e-01	2.222420e-02	4.592634e-01	
5  6.76076	3.978427e-01	1.977668e-01	2.196962e-02	3.567878e-01	
1  8.62941	4.048846e-01	1.614033e-01	2.187714e-02	3.863095e-01	
2  6.92244	3.867959e-01	1.437864e-01	2.193073e-02	4.218992e-01	
1  5.82722	3.427075e-01	7.016316e-02	2.246575e-02	5.384538e-01	
2  3.63689	3.115649e-01	4.604281e-02	2.251749e-02	5.936049e-01	
3  2.26785	3.283399e-01	1.264889e-01	2.211484e-02	4.972545e-01	
1  2.91481	2.757174e-01	6.067956e-04	2.226598e-02	6.754323e-01	
4  1.94982	2.970856e-01	4.602391e-02	2.195120e-02	6.093277e-01	
1  1.70605	2.812148e-01	3.992671e-02	2.183043e-02	6.315569e-01	
1  1.84814	2.927175e-01	1.036012e-01	2.209054e-02	5.558172e-01	
5  1.9322	2.736910e-01	6.567437e-02	2.201185e-02	6.129407e-01	
1  2.52276	2.498432e-01	2.141650e-02	2.246146e-02	6.800740e-01	
5  1.69872	2.837263e-01	4.875905e-02	2.219916e-02	6.194156e-01	
2  2.308	2.747098e-01	1.932307e-02	2.243223e-02	6.573640e-01	
1  1.66631	3.000791e-01	9.797703e-02	2.260261e-02	5.529723e-01	
1  2.15549	2.874181e-01	1.228632e-01	2.261528e-02	5.407197e-01	
1  2.41881	2.637374e-01	8.011587e-02	2.251903e-02	6.073559e-01	
12  2.67703	2.657551e-01	-7.442690e-03	2.193366e-02	6.941627e-01	
2  2.88055	2.612679e-01	-1.168697e-02	2.209823e-02	7.025383e-01	
10  1.61953	2.844263e-01	7.272069e-02	2.210688e-02	5.949535e-01	
1  1.91849	2.719106e-01	3.159265e-02	2.233249e-02	6.481094e-01	
1  3.16484	2.599498e-01	-9.173606e-03	2.263883e-02	7.001740e-01	
2  3.26061	2.820668e-01	-2.819876e-03	2.214231e-02	6.727770e-01	
1  2.31314	2.569381e-01	1.641848e-02	2.239235e-02	6.781266e-01	
2  1.99551	2.661212e-01	2.833257e-02	2.207683e-02	6.577117e-01	
7  2.82373	2.438483e-01	1.442896e-02	2.254423e-02	6.928774e-01	
4  1.57573	2.851194e-01	7.008162e-02	2.229697e-02	5.964885e-01	
1  1.64291	2.952729e-01	9.884435e-02	2.230549e-02	5.575537e-01	
1  2.20869	3.049129e-01	6.323830e-02	2.233635e-02	5.834531e-01	
5  2.14889	2.612341e-01	2.276904e-02	2.248215e-02	6.672858e-01	
2  2.8595	3.013203e-01	2.405615e-02	2.188329e-02	6.272076e-01	
1  2.38093	3.196933e-01	7.740828e-02	2.199143e-02	5.552487e-01	
